industrie,session_count,percentage
Financial Services,194,10.53
Software & Internet,154,8.36
Healthcare & Life Sciences,100,5.43
Manufacturing & Industrial,73,3.96
Retail & Consumer Goods,59,3.2
Government,54,2.93
Media & Entertainment,47,2.55
Advertising & Marketing,36,1.95
Automotive,29,1.57
Telecommunications,25,1.36
Energy & Utilities,23,1.25
Games,21,1.14
Travel & Hospitality,17,0.92
Professional Services,15,0.81
Education,14,0.76
Nonprofit,12,0.65
Aerospace & Satellite,4,0.22
Agriculture,1,0.05
Sports,1,0.05
